epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1340.95,0.99823,0.69179,1.01193,0.999,0.99497,0.99457,0.82681,0.76434,0.32544,0.94275,0.00999853,0.00333284,0.00999853,0.00333284,0.00999853,0.00333284,0.00999853,0.00333284
2,2411.52,0.99373,0.44281,1.0219,0.998,0.99773,0.99468,0.82275,0.78998,0.29295,0.94375,0.0198005,0.00660018,0.0198005,0.00660018,0.0198005,0.00660018,0.0198005,0.00660018
3,3927.47,0.98812,0.43234,1.02146,0.9995,0.99872,0.99452,0.83111,0.76153,0.27239,0.93649,0.0294046,0.00980152,0.0294046,0.00980152,0.0294046,0.00980152,0.0294046,0.00980152
4,45819.9,0.97589,0.41592,1.01871,0.99784,0.999,0.99459,0.83864,0.75906,0.25855,0.93246,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,46650.7,0.95945,0.39432,1.01349,0.99716,0.9995,0.99452,0.84004,0.75303,0.25116,0.9311,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,47449.2,0.95065,0.38601,1.01167,0.999,0.99779,0.99451,0.83132,0.75337,0.24739,0.92911,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,48233.6,0.94553,0.37822,1.00909,0.9975,0.99897,0.99453,0.82326,0.74679,0.24476,0.9274,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,49135.7,0.94081,0.37356,1.00967,0.999,0.99744,0.99452,0.81973,0.74438,0.24431,0.92664,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1079.1,0.94074,0.37381,1.00872,0.99818,0.9985,0.99452,0.82877,0.7437,0.24162,0.92598,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2244.47,0.9394,0.37044,1.0084,0.999,0.99793,0.99452,0.82537,0.74429,0.24186,0.9261,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3352.43,0.93628,0.37006,1.01182,0.99885,0.9985,0.99452,0.81943,0.74342,0.245,0.92611,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4491.47,0.9359,0.36745,1.0092,0.99889,0.9985,0.99451,0.81702,0.74402,0.26659,0.92663,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5679.23,0.93234,0.3644,1.00755,0.999,0.99838,0.99451,0.81739,0.74301,0.28791,0.92638,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6790.43,0.93169,0.3628,1.00362,0.999,0.99788,0.99451,0.81816,0.7424,0.30125,0.92466,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7838.75,0.93048,0.36128,0.99907,0.99886,0.9975,0.99452,0.81737,0.74151,0.30213,0.92424,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8885.11,0.92918,0.35928,1.00476,0.999,0.99789,0.99452,0.81726,0.74249,0.28303,0.9241,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9941.07,0.92972,0.36061,1.0108,0.99894,0.9975,0.99452,0.81657,0.74357,0.25847,0.92451,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,10995.1,0.92905,0.35795,1.0027,0.99855,0.998,0.99452,0.81769,0.74368,0.24679,0.92385,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,12066.2,0.9262,0.35703,1.00379,0.999,0.99846,0.99452,0.84461,0.7447,0.2431,0.92398,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,13124.6,0.92483,0.35583,1.0061,0.998,0.9995,0.99452,0.84456,0.74496,0.24212,0.92392,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,15674.1,0.9251,0.35541,1.00169,0.999,0.99848,0.99452,0.84365,0.74407,0.24193,0.92306,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,18443.2,0.92374,0.35522,1.00408,0.99877,0.9985,0.99452,0.84444,0.74425,0.24073,0.92318,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,20089,0.92466,0.35531,1.00456,0.99882,0.9985,0.99452,0.84407,0.74437,0.24033,0.92314,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,21250.2,0.92407,0.35428,1.00577,0.99887,0.9985,0.99452,0.84299,0.7465,0.24028,0.92365,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,22373.2,0.92296,0.35352,1.00411,0.99892,0.9985,0.99452,0.84372,0.74624,0.23937,0.92346,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,23545.8,0.92081,0.35324,1.01174,0.999,0.99889,0.99452,0.84418,0.74606,0.23926,0.92467,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,24720.4,0.92204,0.35167,1.00733,0.999,0.99887,0.99452,0.84344,0.74527,0.23877,0.92453,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,25867.3,0.92233,0.35152,1.01004,0.99896,0.9985,0.99452,0.8449,0.7447,0.23823,0.92499,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,27163.1,0.92146,0.35236,1.0151,0.999,0.99885,0.99451,0.84426,0.74499,0.2377,0.92588,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,30002.6,0.92059,0.3504,1.0089,0.99895,0.9985,0.99451,0.84471,0.74472,0.23793,0.9265,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,32844.2,0.9194,0.34913,1.00728,0.9985,0.99921,0.99451,0.84595,0.742,0.23662,0.92625,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,35569.5,0.91802,0.34898,1.00832,0.999,0.99888,0.99451,0.84656,0.73955,0.23582,0.92556,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,36870.1,0.91933,0.34968,1.01552,0.999,0.99889,0.99451,0.8475,0.73806,0.23541,0.92622,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,38673.6,0.91873,0.3491,1.01027,0.999,0.99897,0.99451,0.84847,0.73669,0.23497,0.92621,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,39833.3,0.91805,0.34731,1.00735,0.9995,0.99845,0.99451,0.84759,0.73538,0.23426,0.92561,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,40966.5,0.91801,0.34833,1.01786,0.9995,0.99847,0.99451,0.84827,0.73555,0.23428,0.92773,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,42085.6,0.91706,0.34749,1.0213,0.9995,0.99899,0.99451,0.84933,0.73506,0.23341,0.92872,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,43209.4,0.91624,0.34829,1.02651,0.99944,0.999,0.9945,0.84966,0.73374,0.23407,0.93129,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,44341.7,0.91598,0.34531,1.01666,0.99944,0.999,0.99451,0.85028,0.73196,0.23388,0.93232,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,45482.8,0.91397,0.34658,1.01235,0.99946,0.999,0.99451,0.85125,0.72986,0.23328,0.93291,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,46593.8,0.91503,0.34572,1.01614,0.99947,0.999,0.99451,0.85205,0.72689,0.23234,0.93234,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,47714.8,0.91451,0.3445,1.00968,0.99947,0.999,0.99451,0.85187,0.72656,0.23203,0.93156,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,48854.7,0.91465,0.3419,1.00578,0.99946,0.999,0.99451,0.85227,0.72581,0.23053,0.92992,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,49986.1,0.91563,0.34226,1.01232,0.99946,0.999,0.99451,0.85165,0.72691,0.23099,0.93049,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,51103.5,0.91486,0.34187,1.0078,0.99947,0.999,0.99451,0.85196,0.72691,0.23019,0.9294,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,52230.8,0.91413,0.34153,1.0025,0.99947,0.999,0.99451,0.85243,0.72878,0.23024,0.92782,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,53368.1,0.91188,0.34094,1.00656,0.99946,0.999,0.99451,0.85193,0.7296,0.23054,0.92703,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,54504.3,0.91325,0.34148,1.01516,0.99946,0.999,0.99451,0.85195,0.72868,0.2305,0.92706,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,55613.6,0.91243,0.34143,1.01291,0.99946,0.999,0.99451,0.85186,0.72959,0.22984,0.92797,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,56736.7,0.91194,0.33822,1.00366,0.99945,0.999,0.99451,0.85256,0.72877,0.22943,0.9269,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,57885.6,0.911,0.33937,1.01072,0.99945,0.999,0.99451,0.85292,0.72768,0.22935,0.92754,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
