epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0603,0.70231,1.05955,0.8901,0.99098,0.9879,0.99379,0.759,0.94533,0.64862,0.99451,0.00066482,0.00066482,0.00066482
2,96.8802,0.66102,0.49172,0.8795,0.98364,0.96131,0.99125,0.7893,0.79709,0.46078,0.95102,0.0013183,0.0013183,0.0013183
3,140.69,0.65607,0.4265,0.88082,0.98281,0.97602,0.99252,0.78568,0.82875,0.51016,0.96002,0.00195859,0.00195859,0.00195859
4,184.142,0.63513,0.39641,0.87145,0.99382,0.98801,0.99393,0.78655,0.84426,0.44633,0.97154,0.0019406,0.0019406,0.0019406
5,230.278,0.61769,0.37265,0.86762,0.98304,0.98431,0.99148,0.7907,0.75834,0.41654,0.94327,0.0019208,0.0019208,0.0019208
6,341.85,0.60765,0.36048,0.86188,0.98991,0.98042,0.99356,0.80189,0.80066,0.40551,0.94989,0.001901,0.001901,0.001901
7,459.714,0.59699,0.34919,0.86091,0.9875,0.98302,0.99319,0.82242,0.75278,0.42396,0.94499,0.0018812,0.0018812,0.0018812
8,549.285,0.58637,0.33933,0.85647,0.98839,0.98002,0.99268,0.81892,0.75778,0.38318,0.91971,0.0018614,0.0018614,0.0018614
9,625.411,0.58286,0.33097,0.85949,0.99179,0.98002,0.99339,0.84439,0.69133,0.3709,0.91523,0.0018416,0.0018416,0.0018416
10,738.481,0.56911,0.32476,0.85365,0.9895,0.97902,0.99366,0.84063,0.7032,0.35541,0.91271,0.0018218,0.0018218,0.0018218
11,848.304,0.56828,0.31911,0.85362,0.99386,0.97031,0.9926,0.83694,0.72164,0.40992,0.91275,0.001802,0.001802,0.001802
12,951.547,0.55956,0.31517,0.85183,0.98791,0.97996,0.99325,0.85615,0.63866,0.34487,0.89834,0.0017822,0.0017822,0.0017822
13,1064.85,0.55341,0.31032,0.84955,0.99115,0.98901,0.99382,0.85325,0.64835,0.3232,0.89506,0.0017624,0.0017624,0.0017624
14,1166.33,0.55814,0.30738,0.85044,0.98967,0.99001,0.99388,0.85967,0.63522,0.32788,0.89107,0.0017426,0.0017426,0.0017426
15,1218.25,0.55813,0.30588,0.85122,0.99369,0.98801,0.99386,0.85485,0.64061,0.33674,0.89076,0.0017228,0.0017228,0.0017228
16,1260.77,0.55122,0.30054,0.85081,0.99295,0.98461,0.99379,0.8673,0.60926,0.32594,0.87967,0.001703,0.001703,0.001703
17,1302.13,0.5454,0.29447,0.85039,0.99768,0.99301,0.99415,0.86282,0.62883,0.30335,0.88891,0.0016832,0.0016832,0.0016832
18,1342.68,0.54457,0.29268,0.84908,0.98987,0.98601,0.99378,0.86681,0.62811,0.31947,0.89005,0.0016634,0.0016634,0.0016634
19,1383.51,0.54228,0.29202,0.84561,0.99488,0.98901,0.99384,0.84627,0.64828,0.30629,0.88635,0.0016436,0.0016436,0.0016436
20,1438.69,0.53696,0.28922,0.84615,0.98897,0.98564,0.99368,0.86928,0.61666,0.31915,0.88274,0.0016238,0.0016238,0.0016238
21,1505.48,0.53519,0.28554,0.84638,0.99456,0.99001,0.99457,0.85929,0.64354,0.30681,0.89235,0.001604,0.001604,0.001604
22,1552.87,0.53258,0.28133,0.84354,0.99059,0.96503,0.99246,0.84084,0.68303,0.32719,0.90787,0.0015842,0.0015842,0.0015842
23,1596.11,0.52843,0.27878,0.8474,0.98697,0.97403,0.99315,0.85761,0.66462,0.35213,0.90156,0.0015644,0.0015644,0.0015644
24,1637.84,0.53254,0.28112,0.84717,0.99336,0.99301,0.99372,0.86416,0.62159,0.29982,0.88455,0.0015446,0.0015446,0.0015446
25,1679.88,0.5283,0.27531,0.84705,0.99179,0.98002,0.99361,0.84963,0.66278,0.32167,0.89688,0.0015248,0.0015248,0.0015248
26,1721.63,0.53062,0.27486,0.8449,0.99233,0.98202,0.99375,0.84936,0.68643,0.33986,0.89764,0.001505,0.001505,0.001505
27,1763.6,0.52626,0.27574,0.84173,0.99775,0.98901,0.99394,0.8603,0.63772,0.29163,0.89358,0.0014852,0.0014852,0.0014852
28,1805.35,0.51915,0.27032,0.84133,0.99398,0.98901,0.994,0.86085,0.6317,0.3,0.88559,0.0014654,0.0014654,0.0014654
29,1846.91,0.52058,0.27063,0.84193,0.9782,0.98632,0.99331,0.84941,0.64656,0.31286,0.89463,0.0014456,0.0014456,0.0014456
30,1888.67,0.51717,0.26827,0.84349,0.99101,0.99109,0.9939,0.85535,0.65994,0.29567,0.89679,0.0014258,0.0014258,0.0014258
31,1930.54,0.52271,0.26652,0.84396,0.9876,0.99101,0.99382,0.85148,0.69143,0.31401,0.91074,0.001406,0.001406,0.001406
32,1972.33,0.51745,0.26584,0.84256,0.99401,0.9941,0.99406,0.86023,0.6419,0.28497,0.89857,0.0013862,0.0013862,0.0013862
33,2014.25,0.51125,0.25903,0.84042,0.99003,0.99154,0.9939,0.85521,0.6676,0.30279,0.8966,0.0013664,0.0013664,0.0013664
34,2056.16,0.51204,0.26146,0.84085,0.99191,0.98002,0.99363,0.87234,0.59568,0.31476,0.87414,0.0013466,0.0013466,0.0013466
35,2097.9,0.51079,0.26208,0.84179,0.99395,0.98502,0.99392,0.87273,0.57667,0.29598,0.87107,0.0013268,0.0013268,0.0013268
36,2139.08,0.50904,0.258,0.83988,0.99187,0.97537,0.9934,0.87889,0.57423,0.2991,0.87173,0.001307,0.001307,0.001307
37,2180.82,0.50559,0.2585,0.84194,0.99198,0.98873,0.99396,0.85609,0.65273,0.29667,0.88743,0.0012872,0.0012872,0.0012872
38,2222.68,0.51448,0.25583,0.83968,0.9929,0.97753,0.99355,0.87032,0.61041,0.308,0.87928,0.0012674,0.0012674,0.0012674
39,2264.64,0.50372,0.2559,0.84263,0.99598,0.99054,0.99394,0.87044,0.60435,0.27548,0.87553,0.0012476,0.0012476,0.0012476
