epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4321.35,0.92247,0.62978,1.00147,0.998,0.99929,0.99457,0.81649,0.77844,0.28769,0.94448,0.00999927,0.00333309,0.00999927,0.00333309,0.00999927,0.00333309,0.00999927,0.00333309
2,6385.97,0.88591,0.4164,1.00206,0.9985,0.99895,0.99455,0.8327,0.76485,0.2661,0.93772,0.0198013,0.00660043,0.0198013,0.00660043,0.0198013,0.00660043,0.0198013,0.00660043
3,8056.69,0.87782,0.40622,0.99933,0.99501,0.9975,0.99451,0.79784,0.82972,0.38397,0.9849,0.0294053,0.00980176,0.0294053,0.00980176,0.0294053,0.00980176,0.0294053,0.00980176
4,9990.25,0.8592,0.38961,0.99261,0.97125,0.45577,0.71898,0.39709,1.76977,4.02608,1.48401,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,11548.7,0.83298,0.36824,0.98338,0.99667,0.14943,0.57321,0.30482,2.1573,4.83094,1.72598,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,13090.2,0.82147,0.35898,0.97818,0.99062,0.36932,0.68099,0.36028,1.98315,4.36299,1.58906,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,14626.5,0.81453,0.35359,0.97715,0.99644,0.55922,0.77861,0.46892,1.51787,3.20367,1.30934,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,16159.3,0.81016,0.34976,0.97387,0.99946,0.92854,0.96398,0.68351,1.09857,1.73312,1.10498,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,17684.7,0.80698,0.34813,0.97226,0.99798,0.98951,0.99416,0.75545,0.91162,0.77579,1.01347,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,19211.4,0.80516,0.34639,0.97483,0.99601,0.997,0.99449,0.79014,0.82578,0.39845,0.97088,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,20726.4,0.80392,0.34532,0.97373,0.99354,0.999,0.99451,0.82595,0.78584,0.29229,0.94952,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,22252.3,0.799,0.34172,0.97117,0.99853,0.9965,0.99451,0.83707,0.76552,0.25961,0.9376,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,23767.3,0.79804,0.34117,0.97199,0.99883,0.9985,0.99451,0.8428,0.75467,0.24757,0.93103,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,25290.4,0.79683,0.33992,0.97095,0.99892,0.999,0.99451,0.84473,0.74734,0.24126,0.92657,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,26813.5,0.79561,0.33884,0.97025,0.99891,0.999,0.99451,0.84538,0.7435,0.23745,0.92448,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,28334.3,0.79533,0.33737,0.97042,0.99943,0.999,0.99451,0.84602,0.74099,0.23566,0.9239,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,29860.2,0.79503,0.33809,0.9706,0.9995,0.99876,0.99451,0.84741,0.73735,0.23392,0.9225,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,31376.6,0.79281,0.33628,0.96758,0.99895,0.999,0.99451,0.84782,0.73468,0.23378,0.92074,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,32896.8,0.79322,0.33636,0.96877,0.99895,0.999,0.99451,0.8507,0.73237,0.23269,0.91965,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,34414.8,0.79126,0.33556,0.97013,0.99896,0.999,0.99451,0.85116,0.73063,0.23229,0.91935,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,35944,0.78997,0.33442,0.96574,0.99896,0.999,0.99451,0.85095,0.72951,0.23249,0.91891,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,37463.6,0.78901,0.33321,0.96833,0.99897,0.999,0.99451,0.85146,0.72936,0.23225,0.91875,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
